ID,Name,Rating,1stWk Box,Total Box
343669,傲娇与偏见,9.0,6775,12425
346106,决战食神,7.8,8575,12167
245938,鲛珠传,7.9,8352,11369
338387,降临,7.8,5453,10895
341894,极盗车神,7.7,6483,10883
1209085,十八洞村,8.5,3402,10743
248075,追捕,7.6,7405,10602
344032,东北往事之破马张飞,7.2,5882,10584
618704,七十七天,8.6,1132,10374
1201161,赛尔号大电影6：圣者无敌,8.9,5017,10347
345658,游戏规则,7.6,1652,10296
1196168,绝世高手,7.5,6167,10128
342601,冈仁波齐,8.8,1697,10010
344451,绑架者,8.4,4460,9566
246019,降魔传,6.9,5739,9176
344682,大护法,8.3,3309,8760
1144681,银魂 真人版,7.9,6099,8143
338328,密战,8.2,4963,7954
1198813,烟花,5.5,7096,7866
247784,银翼杀手2049,7.2,5068,7696
246388,摆渡人,7.8,28074,48256
1163084,原谅他77次,8.5,1488,7545
338349,血战钢锯岭,9.3,11762,42578
1197625,血战湘江,9.1,1340,7381
567982,反转人生,8.1,4678,6951
344500,狂兽,7.8,4574,6781
1156890,欢乐喜剧人,4.7,4902,6685
337443,至爱梵高·星空之谜,9.0,2869,6873
1181801,龙之战,8.6,1060,6535
338486,荡寇风云,8.3,2865,6512
1132316,闪光少女,9.2,2349,6487
346740,破·局,8.4,4391,6465
1132987,疯岳撬佳人,7.5,5544,6370
342173,明月几时有,7.5,3366,6310
341126,合约男女,8.0,5307,5938
338409,亚瑟王：斗兽争霸,8.0,3686,5706
880690,我的爸爸是森林之王,9.1,1589,5622
1203120,巨额来电,8.4,3767,5585
672281,这就是命,8.1,2912,5447
358750,刀剑神域：序列之争,9.2,4071,5392
248771,昆塔：反转星球,8.5,798,5064
1196171,引爆者,8.2,3228,5026
344081,地球：神奇的一天,9.0,1060,4778
1200664,常在你左右,7.3,2966,4688
346154,喵星人,8.4,3125,4476
349452,声之形,8.3,3310,4454
246463,魔弦传说,8.5,2212,4369
346460,冰雪大作战,8.3,77,1170
345972,大耳朵图图之美食狂想曲,8.8,1738,4329
1197558,猪猪侠之英雄猪少年,8.6,1680,4591
342183,乐高蝙蝠侠大电影,8.5,2455,4199
1207188,钢铁飞龙之再见奥特曼,7.9,945,4099
1181776,李雷和韩梅梅——昨日重现,7.7,3107,4072
1203251,毒。诫,7.3,2841,4025
1042603,了不起的菲丽西,9.1,2217,4020
930966,鲨海,6.9,2739,3872
1170252,有完没完,8.1,1498,3740
346625,至暗时刻,8.8,1408,3732
346167,黑白迷宫,7.8,2312,3317
490367,重返·狼群,9.2,1187,3299
313,英雄本色,9.2,2027,3262
1197452,麻烦家族,7.6,2709,3233
343470,玩偶奇兵,8.6,1179,3171
672202,青禾男高,7.8,2498,3041
367815,阿唐奇遇,8.9,1900,3040
338499,超凡战队,7.5,2455,3005
343985,烽火芳菲,8.0,1293,2946
346383,最终幻想15：王者之剑,7.7,2100,2873
246360,“吃吃”的爱,7.4,1449,2750
346511,暴雪将至,7.1,1998,2717
1204795,二次初恋,8.4,1254,2616
617007,精灵宝可梦：波尔凯尼恩与机巧的玛机雅娜,8.4,1546,2565
1203458,忠爱无言,9.2,253,2555
246276,冰雪女王2：冬日魔咒,7.8,35,2125
1201660,血狼犬,8.4,1280,2519
341753,三只小猪2,,503,2461
342193,天生不对,7.9,1475,2430
1208113,嘉年华,8.0,1265,2222
1132555,托马斯大电影之了不起的比赛,8.5,1113,2144
248268,恐袭波士顿,8.3,1314,2109
346411,守护者：世纪战元,6.3,1589,2023
346641,相爱相亲,8.7,683,1825
342362,相声大电影之我要幸福,5.9,1426,1791
345992,美好的意外,8.2,1084,1762
345877,极致追击,6.8,1007,1762
246230,天空之眼,8.0,888,1733
257722,雄狮,8.7,968,1717
343639,缉枪,7.9,513,1645
1201630,抢红,6.8,1321,1625
345668,健忘村,6.9,791,1602
1204581,豆福传,8.0,1229,1591
1204621,我的爸爸是国王,8.6,292,1568
343833,请把你的窗户打开,,3,1514
247086,神秘家族,6.9,1128,1488
344880,天才捕手,8.0,948,1473
338393,当怪物来敲门,7.5,1087,1455
438338,维京:王者之战,6.9,1161,1412
1142462,深夜食堂2,8.4,1142,1388
342181,提着心，吊着胆,8.0,952,1369
336923,上海王,7.7,806,1361
1207172,情遇曼哈顿,7.4,1024,1355
358776,与君相恋100次,8.2,912,1347
367889,玩命直播,8.3,784,1294
247373,临时演员,8.3,708,1294
1187526,那年夏天你去了哪里,7.3,2788,3467
344154,笨贼别跑,5.2,10,1677
248576,碟仙诡谭2,3.9,711,1277
246222,海洋奇缘,9.1,8546,22667
176,麦兜响当当,6.4,7520,8780
248818,潜艇总动员之时光宝盒,8.5,88,192
368034,兄弟，别闹！,7.1,899,1210
1209176,六年，六天,8.1,167,1162
544704,灵狼传奇,8.8,559,1151
672091,怨灵2,7.0,606,1149
1208031,你若安好,,141,1138
344881,你的名字。,9.2,28653,57558
1193542,捍卫者,9.1,380,1033
1190680,推理笔记,7.6,792,1023
341605,中国推销员,8.0,725,1015
1205281,异兽来袭,7.5,205,1011
344809,美容针,7.9,745,1006
345970,冒牌卧底,7.1,1404,2227
336851,仙球大战,6.9,703,982
1209323,回到火星,8.3,766,963
605624,一念无明,8.4,383,940
345193,夏天19岁的肖像,7.7,538,937
1205027,绿野仙踪之奥兹国奇幻之旅,8.4,631,905
368228,勇往直前,8.7,574,904
248648,我是马布里,8.8,557,890
1205886,那一场呼啸而过的青春,8.2,733,882
1204979,以爱为名,8.2,109,872
1204608,时间去哪儿了,7.1,398,850
344742,完美有多美,7.2,608,2502
338365,海边的曼彻斯特,8.8,270,818
346477,萤火奇兵,8.6,309,798
343744,秘果,8.0,571,796
345973,我是医生,,80,793
343476,不成问题的问题,8.1,579,777
341565,我不做大哥好多年,7.6,533,770
246261,罗曼蒂克消亡史,7.6,6585,12278
346321,会痛的十七岁,7.8,615,766
345106,你好，疯子！,7.7,1018,1566
1200675,玛格丽特的春天,6.4,450,712
337058,不期而遇,7.9,539,716
38977,迷失Z城,6.4,459,704
1211004,一路绽放,8.3,484,681
1212450,小猫巴克里,7.9,651,1224
197420,失业生,8.7,423,610
1211570,咕噜咕噜美人鱼2,8.4,593,1073
344199,惊魂绣花鞋,5.7,322,592
1208145,笔仙咒怨,4.9,286,581
368089,和田玉传奇,,5,556
342613,单身日记：好孕来袭,8.5,169,550
1198459,假如王子睡着了,7.9,420,547
264152,李三娘,,,
343253,恐怖理发店,5.3,145,502
1140198,疯狂特警队,8.2,298,498
1204586,20:16,8.3,319,491
1206402,圣诞奇妙公司,8.2,302,493
1204052,怪物岛,8.1,370,485
346102,借眼,7.4,272,473
1200471,通灵姐妹,2.7,218,470
1204794,胡杨的夏天,7.7,310,467
1207785,S的秘密,8.0,368,458
341528,指甲刀人魔,6.5,321,451
1200610,窦娥奇冤,7.7,294,447
672178,八月,7.7,229,436
1199242,垫底联盟,7.4,421,430
342276,刺杀盖世太保,8.2,281,393
346216,回马亭,,暂无,402
337075,惊天解密,7.7,249,387
343887,守信少年,,,
1199126,夜色撩人,5.6,249,377
1208030,诡域新娘,5.4,157,377
344043,圣诞大赢家,7.6,79,298
344751,一万公里的约定,7.1,266,375
346038,点五步,7.9,180,374
342109,咕噜咕噜美人鱼,8.7,189,1394
635848,深宫怨灵,4.2,232,370
342869,青春逗,7.9,31,370
1211239,夺金四贱客,7.9,233,354
345063,大象林旺之一炮成名,8.7,180,336
246499,蝴蝶公墓,6.0,270,334
335222,皮绳上的魂,8.4,220,329
336946,双面劫匪,8.5,242,325
343351,碟仙前传,6.2,150,315
247448,少年巴比伦,8.0,189,314
1132343,碟仙之毕业照,5.6,171,308
346662,超能龙骑侠,8.5,170,307
368047,花腰恋歌,,2,306
1133164,七月半3：灵触第七感,6.1,189,292
1198738,一路逆风,9.3,175,327
1159320,小情书,8.3,225,291
345522,怨灵宿舍之白纸女生,5.4,90,268
